agency_id,agency_name,services_offered,affiliated_clients,operating_regions,travel_partners,contact_email,phone_number,website
155,Saint Kitts and Nevis Premier League Travel,"SKN club logistics, Concacaf Gold Cup travel, Youth soccer scouting","Saint Kitts and Nevis Premier League clubs, National federations, FIFA scouts","Saint Kitts and Nevis, Caribbean, North America","Hotels, Airlines, Soccer training academies",info@sknsoccertravel.com,+1 869 2 6543 321,https://www.sknsoccertravel.com
156,Saint Vincent and the Grenadines Soccer Travel,"SVG club travel, Concacaf qualifiers, International scouting programs","Saint Vincent and the Grenadines National League clubs, Caribbean teams, FIFA scouts","Saint Vincent and the Grenadines, Caribbean, North America","Hotels, Airlines, Soccer academies",info@svgscocertravel.com,+1 784 2 6543 321,https://www.svgscocertravel.com
157,Tonga National Soccer Travel,"Tonga club logistics, OFC Champions League travel, Player scouting programs","Tonga Premier League clubs, OFC teams, FIFA scouts","Tonga, Oceania, Australia","Hotels, Airlines, Soccer training academies",info@tongasoccertravel.com,+676 2 6543 321,https://www.tongasoccertravel.com
158,Micronesia Soccer Travel,"Micronesian club travel, OFC tournament logistics, Youth soccer scouting","Micronesia Football Association clubs, Pacific Islands leagues, FIFA scouts","Micronesia, Oceania, Australia","Hotels, Airlines, Soccer training academies",info@micronesiassoccertravel.com,+691 2 6543 321,https://www.micronesiassoccertravel.com
159,Cook Islands Soccer Travel,"Cook Islands club logistics, OFC Nations Cup travel, International scouting programs","Cook Islands National League clubs, Pacific teams, FIFA scouts","Cook Islands, Oceania, New Zealand","Hotels, Airlines, Soccer training academies",info@cookislandssoccertravel.com,+682 2 6543 321,https://www.cookislandssoccertravel.com
160,Samoa Premier League Soccer Travel,"Samoan club logistics, OFC qualifiers, Youth player scouting","Samoa Premier League clubs, OFC teams, FIFA scouts","Samoa, Oceania, Australia","Hotels, Airlines, Soccer training academies",info@samoasoccertravel.com,+685 2 6543 321,https://www.samoasoccertravel.com
161,Andorra Primera Divisió Soccer Travel,"Andorran club logistics, UEFA tournament travel, Player scouting programs","Andorra Primera Divisió clubs, Spanish leagues, UEFA teams","Andorra, Spain, Europe","Hotels, Airlines, Training centers",info@andorrasoccertravel.com,+376 2 6543 321,https://www.andorrasoccertravel.com
162,Seychelles Premier League Travel,"Seychellois club logistics, CAF Confederation Cup travel, Player scouting programs","Seychelles Premier League clubs, National teams, FIFA scouts","Seychelles, Africa, Europe","Hotels, Airlines, Soccer academies",info@seychellessoccertravel.com,+248 2 6543 321,https://www.seychellessoccertravel.com
163,Nicaragua Primera División Soccer Travel,"Nicaraguan club logistics, Concacaf Champions League travel, Youth scouting","Nicaragua Primera División clubs, Central American teams, FIFA scouts","Nicaragua, Central America, North America","Hotels, Airlines, Training academies",info@nicaraguasoccertravel.com,+505 2 6543 321,https://www.nicaraguasoccertravel.com
164,Turks and Caicos Soccer Travel,"Turks and Caicos club logistics, Concacaf qualifiers, Player scouting programs","Turks and Caicos National League clubs, Caribbean teams, FIFA scouts","Turks and Caicos, Caribbean, North America","Hotels, Airlines, Soccer academies",info@tcisoccertravel.com,+1 649 2 6543 321,https://www.tcisoccertravel.com
165,Dominica Premier League Travel,"Dominican club logistics, Concacaf tournament travel, Youth development programs","Dominica Premier League clubs, National teams, FIFA scouts","Dominica, Caribbean, North America","Hotels, Airlines, Soccer training centers",info@dominicasoccertravel.com,+1 767 2 6543 321,https://www.dominicasoccertravel.com
166,São Tomé and Príncipe Soccer Travel,"São Tomé and Príncipe club travel, CAF tournament logistics, Player scouting","São Tomé and Príncipe clubs, African federations, FIFA scouts","São Tomé and Príncipe, Africa, Europe","Hotels, Airlines, Soccer training academies",info@stpsoccertravel.com,+239 2 6543 321,https://www.stpsoccertravel.com
167,Vatican City Soccer Travel,"Vatican City club travel, International friendly matches, Player scouting","Vatican City national team, European leagues, FIFA scouts","Vatican City, Italy, Europe","Hotels, Airlines, Soccer training academies",info@vaticansoccertravel.com,+39 06 6543 321,https://www.vaticansoccertravel.com
168,Martinique National Soccer Travel,"Martinique club travel, Concacaf Nations League logistics, Player scouting","Martinique National League clubs, Caribbean teams, FIFA scouts","Martinique, Caribbean, North America","Hotels, Airlines, Soccer training academies",info@martiniquesoccertravel.com,+596 2 6543 321,https://www.martiniquesoccertravel.com
169,Guadeloupe Soccer Travel,"Guadeloupe club logistics, Concacaf tournaments, Youth soccer development","Guadeloupe National League clubs, Caribbean teams, FIFA scouts","Guadeloupe, Caribbean, North America","Hotels, Airlines, Soccer training academies",info@guadeloupesoccertravel.com,+590 2 6543 321,https://www.guadeloupesoccertravel.com
170,Antigua and Barbuda Premier League Travel,"Antigua and Barbuda club travel, Concacaf qualifiers, Player scouting programs","Antigua and Barbuda Premier League clubs, National teams, FIFA scouts","Antigua and Barbuda, Caribbean, North America","Hotels, Airlines, Soccer training academies",info@antiguasoccertravel.com,+1 268 2 6543 321,https://www.antiguasoccertravel.com
171,Palestine Premier League Soccer Travel,"Palestinian club logistics, AFC Cup qualifiers, Player scouting","Palestine Premier League clubs, Middle Eastern teams, FIFA scouts","Palestine, Middle East, Asia","Hotels, Airlines, Soccer training academies",info@palestinesoccertravel.com,+970 2 6543 321,https://www.palestinesoccertravel.com
172,Faroe Islands Women’s Soccer Travel,"Faroe Islands women's club logistics, UEFA qualifiers, Player scouting programs","Faroe Islands Women’s League clubs, Scandinavian teams, FIFA scouts","Faroe Islands, Scandinavia, Europe","Hotels, Airlines, Training academies",info@faroeislandswomensoccertravel.com,+298 2 6543 321,https://www.faroeislandswomensoccertravel.com
173,Jersey Football League Travel,"Jersey club travel, UEFA friendly matches, Player scouting","Jersey Football Association clubs, European teams, FIFA scouts","Jersey, UK, Europe","Hotels, Airlines, Soccer training academies",info@jerseysoccertravel.com,+44 2 6543 321,https://www.jerseysoccertravel.com
174,Isle of Man Soccer Travel,"Isle of Man club travel, UEFA grassroots tournaments, Youth player scouting","Isle of Man League clubs, UK leagues, FIFA scouts","Isle of Man, UK, Europe","Hotels, Airlines, Soccer training academies",info@isleofmansoccertravel.com,+44 2 6543 321,https://www.isleofmansoccertravel.com
175,Saint Pierre and Miquelon Soccer Travel,"Saint Pierre club travel, French league qualifiers, Player scouting programs","Saint Pierre and Miquelon clubs, French leagues, FIFA scouts","Saint Pierre and Miquelon, Canada, France","Hotels, Airlines, Soccer training academies",info@saintpierresoccertravel.com,+508 2 6543 321,https://www.saintpierresoccertravel.com
176,Falkland Islands Soccer Travel,"Falkland Islands club travel, South American friendly matches, Youth development programs","Falkland Islands Football League clubs, South American leagues, FIFA scouts","Falkland Islands, Argentina, South America","Hotels, Airlines, Soccer training academies",info@falklandislandssoccertravel.com,+500 2 6543 321,https://www.falklandislandssoccertravel.com
177,Pitcairn Islands Soccer Travel,"Pitcairn club logistics, OFC regional tournaments, Player scouting","Pitcairn Islands teams, Pacific Islands leagues, FIFA scouts","Pitcairn Islands, Oceania, Australia","Hotels, Airlines, Soccer training academies",info@pitcairnsoccertravel.com,+872 2 6543 321,https://www.pitcairnsoccertravel.com
178,Niue Soccer Travel,"Niue club logistics, OFC tournament qualifiers, Youth soccer scouting","Niue Premier League clubs, OFC teams, FIFA scouts","Niue, Oceania, New Zealand","Hotels, Airlines, Soccer training academies",info@niuesoccertravel.com,+683 2 6543 321,https://www.niuesoccertravel.com
179,Tokelau National Soccer Travel,"Tokelau club travel, OFC Nations Cup logistics, Youth development programs","Tokelau Football Association clubs, Pacific teams, FIFA scouts","Tokelau, Oceania, New Zealand","Hotels, Airlines, Soccer training academies",info@tokelausoccertravel.com,+690 2 6543 321,https://www.tokelausoccertravel.com
180,Tristan da Cunha Soccer Travel,"Tristan da Cunha club logistics, International friendlies, Youth soccer development","Tristan da Cunha Football League clubs, African teams, FIFA scouts","Tristan da Cunha, Africa, Europe","Hotels, Airlines, Soccer training academies",info@tristandacunhasoccertravel.com,+290 2 6543 321,https://www.tristandacunhasoccertravel.com
181,Western Sahara Soccer Travel,"Western Sahara club logistics, CAF regional tournaments, Player scouting","Western Sahara Football clubs, African federations, FIFA scouts","Western Sahara, Africa, Europe","Hotels, Airlines, Soccer academies",info@westernsaharasoccertravel.com,+212 2 6543 321,https://www.westernsaharasoccertravel.com
182,Tuvalu Soccer Travel,"Tuvalu club logistics, OFC tournaments, Player scouting programs","Tuvalu Football Association clubs, OFC teams, FIFA scouts","Tuvalu, Oceania, New Zealand","Hotels, Airlines, Soccer training academies",info@tuvalusoccertravel.com,+688 2 6543 321,https://www.tuvalusoccertravel.com
183,Saint Helena Soccer Travel,"Saint Helena club travel, African qualifiers, Youth development programs","Saint Helena Football Association clubs, African teams, FIFA scouts","Saint Helena, Africa, Europe","Hotels, Airlines, Soccer academies",info@sainthelenasoccertravel.com,+290 2 6543 321,https://www.sainthelenasoccertravel.com
184,Wallis and Futuna Soccer Travel,"Wallis and Futuna club logistics, OFC qualifiers, Player scouting programs","Wallis and Futuna Football clubs, OFC teams, FIFA scouts","Wallis and Futuna, Oceania, New Zealand","Hotels, Airlines, Soccer training academies",info@wallisandfutunasoccertravel.com,+681 2 6543 321,https://www.wallisandfutunasoccertravel.com
185,Curaçao Soccer Travel,"Curaçao club logistics, Concacaf tournaments, Player scouting programs","Curaçao National League clubs, Caribbean teams, FIFA scouts","Curaçao, Caribbean, North America","Hotels, Airlines, Soccer training academies",info@curacaosoccertravel.com,+599 2 6543 321,https://www.curacaosoccertravel.com
186,French Guiana Soccer Travel,"French Guiana club travel, Concacaf Gold Cup logistics, Youth soccer scouting","French Guiana Football Association clubs, Caribbean teams, FIFA scouts","French Guiana, Caribbean, South America","Hotels, Airlines, Soccer training academies",info@frenchguianasoccertravel.com,+594 2 6543 321,https://www.frenchguianasoccertravel.com
187,Montserrat Women’s Soccer Travel,"Montserrat women's club logistics, Concacaf qualifiers, Player scouting","Montserrat Women’s National League clubs, Caribbean teams, FIFA scouts","Montserrat, Caribbean, North America","Hotels, Airlines, Soccer training academies",info@montserratwomenssoccertravel.com,+1 664 2 6543 321,https://www.montserratwomenssoccertravel.com
188,American Samoa Soccer Travel,"American Samoa club logistics, OFC Nations Cup travel, Youth development programs","American Samoa Football Association clubs, Pacific teams, FIFA scouts","American Samoa, Oceania, USA","Hotels, Airlines, Soccer training academies",info@americansamoasoccertravel.com,+1 684 2 6543 321,https://www.americansamoasoccertravel.com
189,Reunion Island Soccer Travel,"Reunion club logistics, African and European friendlies, Youth talent scouting","Reunion National League clubs, French teams, FIFA scouts","Reunion Island, Africa, France","Hotels, Airlines, Soccer training academies",info@reunionsoccertravel.com,+262 2 6543 321,https://www.reunionsoccertravel.com
190,Christmas Island Soccer Travel,"Christmas Island club logistics, AFC regional qualifiers, Player scouting","Christmas Island Football Association clubs, Australian leagues, FIFA scouts","Christmas Island, Asia, Australia","Hotels, Airlines, Soccer training academies",info@christmasislandsoccertravel.com,+61 2 6543 321,https://www.christmasislandsoccertravel.com
191,Nagorno-Karabakh Soccer Travel,"Nagorno-Karabakh club logistics, European qualifiers, Player scouting programs","Nagorno-Karabakh Football Association clubs, Armenian leagues, FIFA scouts","Nagorno-Karabakh, Armenia, Europe","Hotels, Airlines, Soccer training academies",info@nagornokarabakhsoccertravel.com,+374 2 6543 321,https://www.nagornokarabakhsoccertravel.com
192,South Ossetia Soccer Travel,"South Ossetian club logistics, UEFA-affiliated friendlies, Player scouting","South Ossetia Football Association clubs, Russian leagues, FIFA scouts","South Ossetia, Russia, Europe","Hotels, Airlines, Soccer training academies",info@southossetiasoccertravel.com,+7 2 6543 321,https://www.southossetiasoccertravel.com
193,Transnistria Soccer Travel,"Transnistrian club logistics, UEFA club competitions, Player recruitment","Transnistria National League clubs, Moldovan leagues, FIFA scouts","Transnistria, Moldova, Europe","Hotels, Airlines, Soccer academies",info@transnistriasoccertravel.com,+373 2 6543 321,https://www.transnistriasoccertravel.com
194,Abkhazia Premier League Soccer Travel,"Abkhazia club logistics, European friendlies, Youth player scouting","Abkhazia Premier League clubs, Russian leagues, FIFA scouts","Abkhazia, Georgia, Russia","Hotels, Airlines, Soccer academies",info@abkhaziasoccertravel.com,+995 2 6543 321,https://www.abkhaziasoccertravel.com
195,Kosovo Women’s Soccer Travel,"Kosovo women’s league logistics, UEFA Women’s Champions League travel, Player scouting","Kosovo Women's League clubs, European leagues, FIFA scouts","Kosovo, Europe, Balkans","Hotels, Airlines, Soccer academies",info@kosovowomenssoccertravel.com,+383 2 6543 321,https://www.kosovowomenssoccertravel.com
196,Easter Island Soccer Travel,"Easter Island club logistics, South American regional tournaments, Youth scouting","Easter Island teams, Chilean leagues, FIFA scouts","Easter Island, Chile, South America","Hotels, Airlines, Soccer training academies",info@easterislandsoccertravel.com,+56 2 6543 321,https://www.easterislandsoccertravel.com
197,Bonaire Soccer Travel,"Bonaire club logistics, Concacaf Nations League travel, Player scouting","Bonaire National League clubs, Caribbean teams, FIFA scouts","Bonaire, Caribbean, South America","Hotels, Airlines, Soccer training academies",info@bonaireislandsoccertravel.com,+599 2 6543 321,https://www.bonaireislandsoccertravel.com
198,Saint Barthélemy Soccer Travel,"Saint Barthélemy club logistics, French regional tournaments, Player scouting","Saint Barthélemy National League clubs, French leagues, FIFA scouts","Saint Barthélemy, Caribbean, Europe","Hotels, Airlines, Soccer academies",info@stbarthssoccertravel.com,+590 2 6543 321,https://www.stbarthssoccertravel.com
199,Saint Martin Soccer Travel,"Saint Martin club logistics, Concacaf regional tournaments, Youth player scouting","Saint Martin National League clubs, Caribbean teams, FIFA scouts","Saint Martin, Caribbean, North America","Hotels, Airlines, Soccer training academies",info@saintmartinsoccertravel.com,+590 2 6543 321,https://www.saintmartinsoccertravel.com
200,Niue Women’s Soccer Travel,"Niue women’s club logistics, OFC Women’s Nations Cup travel, Player scouting","Niue Women's National League clubs, OFC teams, FIFA scouts","Niue, Oceania, New Zealand","Hotels, Airlines, Soccer academies",info@niuewomenssoccertravel.com,+683 2 6543 321,https://www.niuewomenssoccertravel.com
201,Tibet Soccer Travel,"Tibetan club logistics, Asian qualifiers, Youth player scouting","Tibet National Team, Asian leagues, FIFA scouts","Tibet, China, Asia","Hotels, Airlines, Soccer training academies",info@tibetsoccertravel.com,+86 2 6543 321,https://www.tibetsoccertravel.com
202,Cocos (Keeling) Islands Soccer Travel,"Cocos Islands club logistics, OFC tournaments, Player scouting","Cocos Islands teams, Australian leagues, FIFA scouts","Cocos Islands, Australia, Oceania","Hotels, Airlines, Soccer training academies",info@cocossoccertravel.com,+61 2 6543 321,https://www.cocossoccertravel.com
203,Sint Eustatius Soccer Travel,"Sint Eustatius club logistics, Concacaf regional tournaments, Youth scouting","Sint Eustatius National League clubs, Caribbean teams, FIFA scouts","Sint Eustatius, Caribbean, North America","Hotels, Airlines, Soccer training academies",info@sinteustatiussoccertravel.com,+599 2 6543 321,https://www.sinteustatiussoccertravel.com
204,Aruba Soccer Travel,"Aruban club logistics, Concacaf Nations League travel, Player scouting","Aruba National League clubs, Caribbean teams, FIFA scouts","Aruba, Caribbean, South America","Hotels, Airlines, Soccer training academies",info@arubasoccertravel.com,+297 2 6543 321,https://www.arubasoccertravel.com
205,Guam Soccer Travel,"Guam club logistics, AFC tournaments, Youth player scouting","Guam Premier League clubs, Asian teams, FIFA scouts","Guam, Asia, Oceania","Hotels, Airlines, Soccer training academies",info@guamsoccertravel.com,+1 671 2 6543 321,https://www.guamsoccertravel.com
206,Northern Mariana Islands Soccer Travel,"Northern Mariana Islands club logistics, OFC qualifiers, Player scouting","Northern Mariana Islands Football clubs, Pacific leagues, FIFA scouts","Northern Mariana Islands, Oceania, Asia","Hotels, Airlines, Soccer training academies",info@northernmarianasoccertravel.com,+1 670 2 6543 321,https://www.northernmarianasoccertravel.com
207,Ascension Island Soccer Travel,"Ascension Island club travel, International friendlies, Youth soccer development","Ascension Island National League clubs, African teams, FIFA scouts","Ascension Island, Africa, Europe","Hotels, Airlines, Soccer training academies",info@ascensionsoccertravel.com,+247 2 6543 321,https://www.ascensionsoccertravel.com
208,Macquarie Island Soccer Travel,"Macquarie Island club logistics, OFC qualifiers, Player scouting programs","Macquarie Island Football clubs, Australian leagues, FIFA scouts","Macquarie Island, Oceania, Australia","Hotels, Airlines, Soccer training academies",info@macquariesoccertravel.com,+61 2 6543 321,https://www.macquariesoccertravel.com
209,Saint Helena Women's Soccer Travel,"Saint Helena women’s club logistics, African qualifiers, Player scouting","Saint Helena Women’s League clubs, African teams, FIFA scouts","Saint Helena, Africa, Europe","Hotels, Airlines, Soccer training academies",info@sainthelenawomensoccertravel.com,+290 2 6543 321,https://www.sainthelenawomensoccertravel.com
210,Diego Garcia Soccer Travel,"Diego Garcia club travel, International friendly matches, Youth soccer scouting","Diego Garcia Football Association clubs, African and Asian teams, FIFA scouts","Diego Garcia, Africa, Asia","Hotels, Airlines, Soccer training academies",info@diegogarciasoccertravel.com,+246 2 6543 321,https://www.diegogarciasoccertravel.com
211,Clipperton Island Soccer Travel,"Clipperton Island club logistics, French regional tournaments, Player scouting","Clipperton Football Association clubs, French leagues, FIFA scouts","Clipperton Island, France, North America","Hotels, Airlines, Soccer training academies",info@clippertonsoccertravel.com,+689 2 6543 321,https://www.clippertonsoccertravel.com
212,Socotra Island Soccer Travel,"Socotra Island club logistics, Middle Eastern qualifiers, Youth scouting","Socotra Football Association clubs, Yemeni leagues, FIFA scouts","Socotra Island, Yemen, Middle East","Hotels, Airlines, Soccer training academies",info@socotrasoccertravel.com,+967 2 6543 321,https://www.socotrasoccertravel.com
213,Kerguelen Islands Soccer Travel,"Kerguelen Islands club logistics, OFC qualifiers, Player scouting","Kerguelen National League clubs, French leagues, FIFA scouts","Kerguelen Islands, France, Oceania","Hotels, Airlines, Soccer training academies",info@kerguelensoccertravel.com,+33 2 6543 321,https://www.kerguelensoccertravel.com
214,Heard Island Soccer Travel,"Heard Island club logistics, Australian qualifiers, Player scouting","Heard Island Football Association clubs, Australian leagues, FIFA scouts","Heard Island, Australia, Oceania","Hotels, Airlines, Soccer training academies",info@heardislandsoccertravel.com,+61 2 6543 321,https://www.heardislandsoccertravel.com
215,Jan Mayen Soccer Travel,"Jan Mayen club logistics, UEFA friendlies, Youth soccer development","Jan Mayen Football clubs, Norwegian leagues, FIFA scouts","Jan Mayen, Norway, Europe","Hotels, Airlines, Soccer training academies",info@janmayensoccertravel.com,+47 2 6543 321,https://www.janmayensoccertravel.com
216,Gough Island Soccer Travel,"Gough Island club logistics, African qualifiers, Youth player scouting","Gough Island Football Association clubs, South African leagues, FIFA scouts","Gough Island, South Africa, Europe","Hotels, Airlines, Soccer training academies",info@goughislandsoccertravel.com,+27 2 6543 321,https://www.goughislandsoccertravel.com
217,Peter I Island Soccer Travel,"Peter I Island club logistics, Antarctic soccer leagues, Youth training programs","Peter I Island Football clubs, Norwegian leagues, FIFA scouts","Peter I Island, Antarctica, Norway","Hotels, Airlines, Soccer training academies",info@peterislandsoccertravel.com,+47 2 6543 321,https://www.peterislandsoccertravel.com
218,Bir Tawil Soccer Travel,"Bir Tawil club logistics, African qualifiers, Player scouting programs","Bir Tawil Football clubs, Egyptian leagues, FIFA scouts","Bir Tawil, Egypt, Africa","Hotels, Airlines, Soccer training academies",info@birtawilsoccertravel.com,+20 2 6543 321,https://www.birtawilsoccertravel.com
219,North Sentinel Island Soccer Travel,"North Sentinel Island club logistics, Indian qualifiers, Player scouting","North Sentinel Football clubs, Indian leagues, FIFA scouts","North Sentinel Island, India, Asia","Hotels, Airlines, Soccer training academies",info@northsentinelsoccertravel.com,+91 2 6543 321,https://www.northsentinelsoccertravel.com
220,Bouvet Island Soccer Travel,"Bouvet Island club logistics, Antarctic soccer tournaments, Youth scouting","Bouvet Island Football clubs, Norwegian leagues, FIFA scouts","Bouvet Island, Norway, Antarctica","Hotels, Airlines, Soccer training academies",info@bouvetislandsoccertravel.com,+47 2 6543 321,https://www.bouvetislandsoccertravel.com
221,South Georgia and South Sandwich Islands Soccer Travel,"SGSSI club logistics, South American qualifiers, Youth soccer scouting","SGSSI Football Association clubs, Argentinian leagues, FIFA scouts","South Georgia, South America, Antarctica","Hotels, Airlines, Soccer training academies",info@sgssisoccertravel.com,+500 2 6543 321,https://www.sgssisoccertravel.com
222,Hainan Island Soccer Travel,"Hainan Island club logistics, Chinese Super League qualifiers, Player scouting","Hainan Football Association clubs, Chinese leagues, FIFA scouts","Hainan, China, Asia","Hotels, Airlines, Soccer training academies",info@hainansoccertravel.com,+86 2 6543 321,https://www.hainansoccertravel.com
223,Chatham Islands Soccer Travel,"Chatham Islands club logistics, New Zealand tournaments, Player scouting","Chatham Islands National League clubs, New Zealand leagues, FIFA scouts","Chatham Islands, New Zealand, Oceania","Hotels, Airlines, Soccer training academies",info@chathamislandssoccertravel.com,+64 2 6543 321,https://www.chathamislandssoccertravel.com
224,Bermuda Women’s Soccer Travel,"Bermuda women's club logistics, Concacaf Women's Championship travel, Player scouting","Bermuda Women's League clubs, Caribbean teams, FIFA scouts","Bermuda, Caribbean, North America","Hotels, Airlines, Soccer training academies",info@bermudawomenssoccertravel.com,+1 441 2 6543 321,https://www.bermudawomensoccertravel.com
225,Tokelau Women’s Soccer Travel,"Tokelau women’s club logistics, OFC Women’s Nations Cup travel, Player scouting","Tokelau Women's National League clubs, OFC teams, FIFA scouts","Tokelau, Oceania, New Zealand","Hotels, Airlines, Soccer training academies",info@tokelauwomenssoccertravel.com,+690 2 6543 321,https://www.tokelauwomensoccertravel.com
226,Tinian Soccer Travel,"Tinian club logistics, OFC regional tournaments, Youth scouting","Tinian Football Association clubs, Pacific Islands leagues, FIFA scouts","Tinian, Northern Mariana Islands, Oceania","Hotels, Airlines, Soccer training academies",info@tiniansoccertravel.com,+1 670 2 6543 321,https://www.tiniansoccertravel.com
227,Svalbard Soccer Travel,"Svalbard club logistics, UEFA winter tournaments, Youth soccer scouting","Svalbard Football Association clubs, Norwegian leagues, FIFA scouts","Svalbard, Norway, Europe","Hotels, Airlines, Soccer training academies",info@svalbardsoccertravel.com,+47 2 6543 321,https://www.svalbardsoccertravel.com
228,Nagaland Soccer Travel,"Nagaland club logistics, Indian I-League travel, Youth scouting","Nagaland Premier League clubs, Indian leagues, FIFA scouts","Nagaland, India, Asia","Hotels, Airlines, Soccer training academies",info@nagalandsoccertravel.com,+91 2 6543 321,https://www.nagalandsoccertravel.com
229,Komi Republic Soccer Travel,"Komi Republic club logistics, Russian Premier League qualifiers, Player scouting","Komi Republic Football Association clubs, Russian leagues, FIFA scouts","Komi Republic, Russia, Europe","Hotels, Airlines, Soccer training academies",info@komisoccertravel.com,+7 2 6543 321,https://www.komisoccertravel.com
230,Altai Republic Soccer Travel,"Altai Republic club logistics, Russian lower league qualifiers, Player scouting","Altai Republic Football clubs, Russian leagues, FIFA scouts","Altai Republic, Russia, Asia","Hotels, Airlines, Soccer training academies",info@altaisoccertravel.com,+7 2 6543 321,https://www.altaisoccertravel.com
231,Baikonur Soccer Travel,"Baikonur club logistics, Kazakhstan Premier League qualifiers, Youth player scouting","Baikonur Football Association clubs, Kazakh leagues, FIFA scouts","Baikonur, Kazakhstan, Asia","Hotels, Airlines, Soccer training academies",info@baikonursoccertravel.com,+7 2 6543 321,https://www.baikonursoccertravel.com
232,Tajikistan Women’s Soccer Travel,"Tajikistan women’s club logistics, AFC Women’s Cup travel, Player scouting","Tajikistan Women's League clubs, Asian teams, FIFA scouts","Tajikistan, Asia, Middle East","Hotels, Airlines, Soccer training academies",info@tajikistanwomenssoccertravel.com,+992 2 6543 321,https://www.tajikistanwomenssoccertravel.com
233,Orkney Islands Soccer Travel,"Orkney Islands club logistics, Scottish lower league tournaments, Youth scouting","Orkney Football Association clubs, Scottish leagues, FIFA scouts","Orkney Islands, Scotland, Europe","Hotels, Airlines, Soccer training academies",info@orkneysoccertravel.com,+44 2 6543 321,https://www.orkneysoccertravel.com
234,Ladakh Soccer Travel,"Ladakh club logistics, Indian I-League qualifiers, Player scouting","Ladakh Football Association clubs, Indian leagues, FIFA scouts","Ladakh, India, Asia","Hotels, Airlines, Soccer training academies",info@ladakhsoccertravel.com,+91 2 6543 321,https://www.ladakhsoccertravel.com
235,Newfoundland and Labrador Soccer Travel,"Newfoundland club logistics, Canadian Premier League qualifiers, Youth player scouting","Newfoundland Football Association clubs, Canadian leagues, FIFA scouts","Newfoundland and Labrador, Canada, North America","Hotels, Airlines, Soccer training academies",info@newfoundlandsoccertravel.com,+1 709 2 6543 321,https://www.newfoundlandsoccertravel.com
236,Guadeloupe Women’s Soccer Travel,"Guadeloupe women’s club logistics, Concacaf Women’s tournaments, Player scouting","Guadeloupe Women's League clubs, Caribbean teams, FIFA scouts","Guadeloupe, Caribbean, North America","Hotels, Airlines, Soccer training academies",info@guadeloupewomenssoccertravel.com,+590 2 6543 321,https://www.guadeloupewomenssoccertravel.com
237,Kuril Islands Soccer Travel,"Kuril Islands club logistics, Russian regional tournaments, Youth scouting","Kuril Islands Football Association clubs, Russian leagues, FIFA scouts","Kuril Islands, Russia, Asia","Hotels, Airlines, Soccer training academies",info@kurilislandssoccertravel.com,+7 2 6543 321,https://www.kurilislandssoccertravel.com
238,Greenland Women’s Soccer Travel,"Greenland women's club logistics, UEFA Women’s tournaments, Player scouting","Greenland Women's League clubs, Scandinavian teams, FIFA scouts","Greenland, Scandinavia, Europe","Hotels, Airlines, Soccer training academies",info@greenlandwomenssoccertravel.com,+299 2 6543 321,https://www.greenlandwomenssoccertravel.com
239,Zanzibar Soccer Travel,"Zanzibar club logistics, CAF Champions League qualifiers, Player scouting","Zanzibar Premier League clubs, Tanzanian leagues, FIFA scouts","Zanzibar, Tanzania, Africa","Hotels, Airlines, Soccer training academies",info@zanzibarsoccertravel.com,+255 2 6543 321,https://www.zanzibarsoccertravel.com
240,Ascension Island Women’s Soccer Travel,"Ascension Island women’s club logistics, African qualifiers, Player scouting","Ascension Island Women's League clubs, African teams, FIFA scouts","Ascension Island, Africa, Europe","Hotels, Airlines, Soccer training academies",info@ascensionwomenssoccertravel.com,+247 2 6543 321,https://www.ascensionwomenssoccertravel.com
241,Bougainville Soccer Travel,"Bougainville club logistics, OFC Champions League travel, Player scouting","Bougainville National League clubs, Pacific teams, FIFA scouts","Bougainville, Papua New Guinea, Oceania","Hotels, Airlines, Soccer training academies",info@bougainvillesoccertravel.com,+675 2 6543 321,https://www.bougainvillesoccertravel.com
242,Nagorno-Karabakh Women’s Soccer Travel,"Nagorno-Karabakh women's club logistics, UEFA Women’s qualifiers, Player scouting","Nagorno-Karabakh Women's League clubs, Armenian leagues, FIFA scouts","Nagorno-Karabakh, Armenia, Europe","Hotels, Airlines, Soccer training academies",info@nagornokarabakhwomenssoccertravel.com,+374 2 6543 321,https://www.nagornokarabakhwomenssoccertravel.com
243,Faroe Islands Youth Soccer Travel,"Faroe Islands youth club logistics, UEFA youth tournaments, Player scouting","Faroe Islands Youth League clubs, Scandinavian teams, FIFA scouts","Faroe Islands, Scandinavia, Europe","Hotels, Airlines, Soccer training academies",info@faroeislandsyouthsoccertravel.com,+298 2 6543 321,https://www.faroeislandsyouthsoccertravel.com
244,Saint Pierre and Miquelon Women’s Soccer Travel,"Saint Pierre women's club logistics, French regional tournaments, Player scouting","Saint Pierre and Miquelon Women's League clubs, French leagues, FIFA scouts","Saint Pierre and Miquelon, Canada, France","Hotels, Airlines, Soccer training academies",info@saintpierrewomenssoccertravel.com,+508 2 6543 321,https://www.saintpierrewomenssoccertravel.com
245,Madeira Soccer Travel,"Madeira club logistics, Portuguese Cup qualifiers, Youth development programs","Madeira Premier League clubs, Portuguese leagues, FIFA scouts","Madeira, Portugal, Europe","Hotels, Airlines, Soccer training academies",info@madeirasoccertravel.com,+351 2 6543 321,https://www.madeirasoccertravel.com
