club_name,club_tier,international_exposure,league_strength,league_exposure,club_reputation_notes
KCCA FC,Tier 1,Very High,4.2,High,Uganda’s leading club; regular CAF Champions League and Confederation Cup contender
Khroub,Tier 2,None,2.3,Low,Algerian club currently outside Ligue 1; historic mid-tier club
Kiglon,Tier 2,None,2.0,Low,Zimbabwean club formerly in top flight; now defunct or restructured
King Faisal,Tier 1,Low,2.8,Medium,Ghanaian Premier League club with fluctuating performance and strong youth policy
Kitwe United,Tier 1,Low,2.8,Medium,Zambian club with strong history and loyal fan base; currently competitive in Super League
Konkola Blades,Tier 1,Low,2.8,Medium,Zambian club with historical presence in the Super League; supported by the mining community
Konkola Mine Police,Tier 2,None,2.2,Low,Lower-tier Zambian club affiliated with law enforcement and mining
Kwara United,Tier 1,Medium,3.0,Medium,Nigerian club with consistent NPFL appearances and continental ambition
Lamontville Golden Arrows,Tier 1,Medium,3.2,High,South African Premier Division club with strong local support and tactical discipline
Lausanne,Tier 1,High,3.8,High,Swiss club (Lausanne-Sport); notable in Swiss Super League with history in UEFA competitions
Legon Cities FC,Tier 1,Low,2.8,Medium,Rebranded Ghanaian Premier League club formerly known as Wa All Stars
Lengthens,Tier 2,None,2.0,Low,Defunct or inactive Zimbabwean club; formerly played in Premier League
Liberty Professionals,Tier 2,Medium,2.5,Medium,Ghanaian club famous for producing players like Michael Essien; recently relegated
Liga Muculmana,Tier 1,High,3.5,Medium,Mozambican powerhouse with multiple league titles and CAF appearances
Lime Hotspurs,Tier 2,None,2.0,Low,Zambian club previously in top division; now less competitive
Lion Blesse,Tier 2,None,2.2,Low,Cameroonian club from Elite Two with limited national exposure
LLB Academic,Tier 1,Medium,3.0,Medium,Top Burundian club; multiple domestic titles and CAF appearances
Lobi Stars,Tier 1,High,3.5,Medium,Nigerian club; NPFL champions in 2018 and regular continental participant
LPTA Tozeur,Tier 2,None,2.0,Low,Tunisian lower-league club with minimal national or regional exposure
Lumwana Radiants,Tier 1,Low,2.8,Low,Zambian club from the copperbelt; mid-to-lower Super League side
Lusaka Dynamos,Tier 1,Medium,3.0,Medium,Zambian Super League club with a history of signing international players
Lys Sassandra,Tier 1,Low,2.8,Medium,Ivorian Ligue 1 club known for youth development and steady top-tier performance
Maghreb Fes,Tier 1,High,3.8,High,Historic Moroccan club; CAF Confederation Cup and Throne Cup winners
Mamelodi Sundowns FC,Tier 1,Very High,5.0,Global,South Africa’s most dominant club in the 2010s–2020s; CAF Champions League winners
Manica Diamonds,Tier 1,Low,2.8,Medium,Zimbabwean Premier League club; recently promoted with corporate sponsorship
Maritzburg United,Tier 1,Low,3.0,High,"South African club known as 'The Team of Choice'; consistent PSL performer, recently relegated"
Marumo Gallants FC,Tier 1,Medium,3.2,Medium,"South African club; 2021–22 CAF Confederation Cup quarter-finalist, FA Cup winner"
Masvingo United,Tier 2,None,2.3,Low,"Zimbabwean club with strong early 2000s presence, currently in lower divisions"
Mbabane Swallows,Tier 1,High,3.5,Medium,Eswatini’s most successful club; regulars in CAF competitions
MC Alger,Tier 1,Very High,4.5,High,Historic Algerian club; CAF Champions League winner (1976) and multiple domestic titles
MC El Eulma,Tier 2,Low,2.5,Low,Algerian club with past Ligue 1 presence and short CAF Confederation Cup run
MC Oran,Tier 1,Medium,3.5,Medium-High,Algerian club with strong fan base and multiple league titles in the 1990s
MCO Oujda,Tier 1,Low,2.8,Medium,Mid-table Moroccan club with stable Botola Pro status and regional fan base
Medeama SC,Tier 1,High,3.5,Medium-High,Ghanaian club; league champion in 2023 and CAF Champions League participant
Merikh Kosti,Tier 2,None,2.2,Low,Sudanese lower-division club; overshadowed by top-tier teams
Merreikh El-Fasher,Tier 1,Low,2.8,Medium,Sudanese Premier League club; mid-table performance with occasional strong runs
Merreikh Nyala,Tier 2,None,2.2,Low,"Sudanese club with past top-flight participation, now outside of the spotlight"
MFM FC,Tier 1,Medium,3.2,Medium,Nigerian club backed by a church ministry; NPFL runner-up in 2017 and CAF participant
Mighty Jets,Tier 2,None,2.0,Low,One of Nigeria’s oldest clubs; former top-tier champions now in lower divisions
Misr El Makasa,Tier 1,Medium,3.0,Medium,Egyptian club with rapid rise in the 2010s; finished 2nd in 2016–17 Premier League
MO Bejaia,Tier 2,Low,2.5,Low,Algerian club; reached CAF Confederation Cup final in 2016 but since relegated
Moghreb Tetouan,Tier 1,High,3.5,High,Moroccan club; Botola champions and CAF Champions League participant (2014)
Monomatapa United,Tier 2,Low,2.3,Low,"Zimbabwean club; former champions in 2008, now inactive or restructured"
Moossou FC,Tier 2,None,2.0,Low,"Ivorian club with brief top-tier history, now mostly in lower divisions"
Moroka Swallows,Tier 1,Medium,3.2,High,Historic South African club; PSL founders with recent promotion and resurgence
Motor Action,Tier 2,Low,2.3,Low,Zimbabwean club; 2010 champions but now inactive or dissolved
MSP Batna,Tier 2,None,2.2,Low,"Algerian club with history in top divisions, now primarily in lower leagues"
Mufulira Wanderers,Tier 1,High (historic),3.2,Medium,One of Zambia’s most decorated clubs; past CAF competition regular
NA Hussein Dey,Tier 1,Medium,3.0,Medium,Algerian club with long Ligue 1 history and continental appearances
Nacional de Benguela,Tier 2,None,2.0,Low,Angolan club with limited Girabola experience; now lesser known
Nakambala Leopards,Tier 2,None,2.3,Low,Zambian club sponsored by a sugar company; relegated from top flight
NAPSA Stars FC,Tier 1,Medium,3.2,Medium,Zambian club with recent continental competition and FA Cup success
Nasarawa United,Tier 1,Medium,3.0,Medium,Nigerian club with strong home record and steady NPFL presence
National Assembly,Tier 2,None,2.0,Low,Zambian government-affiliated team; minimal recent top-tier activity
National Bank,Tier 2,None,2.2,Low,Likely refers to an Egyptian or Sudanese club with minimal exposure
NC Magra,Tier 1,Low,2.8,Medium,Algerian Ligue 1 club with recent top-tier consistency and cup final appearance
Nchanga Rangers,Tier 1,Low,2.8,Medium,Zambian club with a strong legacy in Copperbelt football; fluctuates between divisions
Nembe City FC,Tier 2,None,2.0,Low,Nigerian club with a short spell in NPFL; now inactive
New Edubiase FC,Tier 2,None,2.3,Low,Ghanaian club; won FA Cup in 2012 but relegated since
New Star de Douala,Tier 1,Medium,3.0,Medium,Cameroonian club; top-tier presence and CAF Confederation Cup experience
Ngezi Platinum FC,Tier 1,High,3.5,Medium,Zimbabwean club with rapid rise; FA Cup winners and strong league finishes
NIGELEC,Tier 1,Medium,3.0,Medium,Top club from Niger; regular CAF Confederation Cup participant
Niger Tornadoes,Tier 1,Low,2.8,Medium,Nigerian club; frequent NPFL presence with cup final appearances
Njala Quan,Tier 2,None,2.2,Low,Cameroonian club with brief Elite One history; now in lower tiers
Njube Sundowns,Tier 2,None,2.0,Low,Zimbabwean club with limited top-flight history; likely defunct or restructured
Nkana FC,Tier 1,Very High,4.2,High,One of Zambia’s most successful clubs; CAF Champions League finalist in 1990
Nkwazi,Tier 1,Low,2.8,Medium,Zambian police-affiliated club; mid-table Super League presence
Nogoom FC,Tier 2,None,2.3,Low,Egyptian club formerly known as Nogoom El Mostakbal; focused on youth development
Ocean Boys FC,Tier 2,None,2.2,Low,Defunct Nigerian club; FA Cup winners in 2008 but later disbanded
OCK Khouribga,Tier 1,Medium,3.2,High,Well-known Moroccan club; past league champion and regular in Botola Pro
Office Niger Sports,Tier 2,None,2.2,Low,Malian club from the Office du Niger region; limited domestic achievements
OFTA FC,Tier 2,None,2.0,Low,Cameroonian second-division club; occasional Elite One promotion contender
Olympic Club de Safi,Tier 1,Medium,3.3,High,Moroccan top-tier club; participated in CAF Confederation Cup in recent years
Olympic El Qanah FC,Tier 2,Low,2.3,Low,Historic Egyptian club; has struggled to regain top-flight status in recent years
Olympic Niamey,Tier 1,Medium,2.8,Medium,One of Niger’s top clubs; consistent Ligue 1 and CAF Confederation Cup participant
Olympique Beja,Tier 1,Low,2.8,Medium,Tunisian Ligue 1 club; cup winners in the past with steady domestic performances
Olympique de Bamako,Tier 1,Medium,3.2,Medium,Strong Malian side; regular Ligue 1 contender and CAF competition participant
Olympique de Medea,Tier 2,None,2.3,Low,Algerian club with recent Ligue 1 relegation; striving for return
Olympique de Missira,Tier 2,None,2.0,Low,Lesser-known Malian club; local presence with limited national achievements
Olympique du Kef,Tier 2,None,2.2,Low,Tunisian club with sporadic top-tier appearances; mostly in Ligue 2
Onze Createurs,Tier 1,Medium,3.0,Medium,Malian club from Bamako; FA Cup winners and regular top-tier competitor
Orlando Pirates,Tier 1,Very High,5.0,Global,South African football giant; CAF Champions League winner and PSL powerhouse
Ouragahio,Tier 2,None,2.0,Low,Ivorian club with low-tier national visibility
PA Sambizanga,Tier 1,Medium,3.0,Medium,Historic Angolan club with Girabola presence and fan following in Luanda
Panthere,Tier 1,Low,2.8,Medium,Cameroonian top-flight club; cup finalists and strong regional presence
Paradou AC,Tier 1,Medium,3.2,Medium-High,Algerian club known for its elite academy; developed many national team players
Petrojet,Tier 2,Low,2.5,Medium,"Egyptian petroleum-affiliated club; relegated from Premier League, currently in second tier"
Pharco FC,Tier 1,Low,2.8,Medium,New-generation Egyptian club with pharmaceutical backing and recent top-tier rise
Plateau United,Tier 1,Medium,3.2,Medium,NPFL champions in 2017; consistent Nigerian top-flight performer
Platinum Stars,Defunct,Medium,3.2,High,South African club active in the 2010s; CAF participant before being sold in 2018
Police FC,Tier 1,Low,2.8,Medium,"Multiple clubs across Africa use this name (Rwanda, Uganda, Kenya); typically law enforcement-backed"
Polokwane City,Tier 1,Low,3.0,Medium,South African club recently promoted back to the PSL after strong second-tier campaign
Porcelana FC,Tier 2,None,2.2,Low,Angolan club with brief Girabola history; named after local porcelain factory
Power Dynamos,Tier 1,High,4.0,High,Top Zambian club; league champions and strong CAF competition track record
Pretoria University,Tier 2,Low,2.5,Medium,"South African academic-affiliated club; known as 'AmaTuks', formerly in PSL"
Prison Leopards,Tier 1,Low,2.8,Medium,Zambian club affiliated with the prison service; active in the Super League
Progresso Associacao do Sambizanga,Tier 1,Medium,3.0,Medium,Luanda-based Angolan club with historic presence in Girabola and community roots
Progresso da Lunda Sul,Tier 1,Low,2.8,Low,Angolan club with Girabola participation; less decorated than Luanda-based Progresso
Pwd Bamenda,Tier 1,Medium,3.2,Medium,"Cameroonian club; Elite One champions in 2019–20, recently involved in CAF competitions"
Pyramids FC,Tier 1,High,4.2,High,Ambitious Egyptian club with strong financial backing; CAF Confederation Cup runner-up (2020)
Quelaton,Tier 2,None,2.0,Low,Zimbabwean club with brief PSL appearance before relegation
Racing Club d'Abidjan,Tier 1,Medium,3.2,Medium,Emerging Ivorian club; Ligue 1 champions in 2020 and CAF Champions League participant
Racing de Casablanca,Tier 2,Low,2.5,Low,"Historic Moroccan club; formerly in Botola Pro, currently in second division"
Raja Beni Mellal,Tier 2,None,2.3,Low,Moroccan club with fluctuating status between Botola Pro and lower leagues
Ranchers Bees,Tier 2,None,2.0,Low,Nigerian club with strong presence in the 1980s; now outside top flight
Rapide Club Oued Zem,Tier 2,None,2.5,Low,Moroccan club with recent relegation from Botola Pro; mid-tier visibility
RC Arbaa,Tier 2,None,2.3,Low,Algerian club with brief top-flight experience; currently in lower division
RC Bafoussam,Tier 2,Low,2.3,Low,"Cameroonian club with a strong historical presence, now rebuilding in lower leagues"
RC Relizane,Tier 2,None,2.5,Low,Algerian club with intermittent presence in Ligue 1; mostly in second division
RCA Raja Casablanca Athletic,Tier 1,Very High,5.0,Global,One of Africa’s elite clubs; 3× CAF Champions League winner and multiple Botola titles
Real Tamale,Tier 1,Low,2.8,Medium,Ghanaian Premier League club with historical influence; known for producing key national players
Recreativo da Caala,Tier 1,Medium,3.2,Medium,Angolan Girabola club with solid league performance and occasional CAF appearances
Recreativo do Libolo,Tier 1,High,3.8,Medium-High,One of Angola’s top clubs in the 2010s; Girabola champions and CAF group stage regulars
Red Arrows,Tier 1,High,3.5,Medium,Zambian Air Force club; multiple league titles and regular CAF qualifiers
Remo Stars,Tier 1,Medium,3.0,Medium,Fast-rising Nigerian club with continental ambitions and strong youth development
Renaissance Club Zemamra,Tier 2,None,2.5,Low,Moroccan club with recent Botola Pro promotion and relegation; currently in second tier
Renaissance de Ngoumou,Tier 2,None,2.2,Low,Cameroonian club formerly in Elite One; now in lower divisions
Rising Stars,Tier 2,None,2.0,Low,Nigerian club formerly in NPFL; currently inactive or in lower leagues
Roan United,Tier 2,Low,2.3,Low,Historic Zambian club from the mining town of Luanshya; currently not in top tier
Roumde Adjia,Tier 2,None,2.2,Low,Cameroonian club named after a stadium in Garoua; limited competitive impact
Royal AM,Tier 1,Medium,3.2,High,South African PSL club with strong media presence and continental aspirations
RSB Berkane,Tier 1,Very High,4.5,High,Moroccan club; CAF Confederation Cup champions in 2020 and 2022
Sabana de Mopti,Tier 2,None,2.0,Low,Malian club from the Mopti region; minimal national impact
Sabe,Tier 2,None,2.0,Low,Little-known club likely from West Africa; limited public data available
Sable Batie,Tier 1,Medium,3.0,Medium,Cameroonian club with Elite One history and local success
Sagrada Esperança,Tier 1,High,3.8,Medium,Angolan Girabola champions (2021); regular CAF Champions League participant
Sahel,Tier 1,Medium,3.0,Medium,Nigerien club (ASN NIGER SAHEL) with domestic titles and CAF presence
Saida,Tier 2,None,2.3,Low,Algerian club currently in lower division; former Ligue 1 participants
Saint George,Tier 1,Very High,4.5,High,Ethiopia’s most successful club; regular CAF Champions League competitor
San Pedro,Tier 1,Medium,3.5,Medium,Ivorian club growing in influence; won national cups and competes in CAF tournaments
Santa Rita de Cassia FC,Tier 1,Low,2.8,Low,Angolan club with Girabola experience; tragic 2017 stadium incident noted in club history
Santos,Tier 2,Low,2.5,Low,"Name used by multiple clubs in Africa (South Africa, Nigeria); typically second-tier or youth-based"
Santos de Angola,Tier 1,Medium,3.0,Medium,Well-known Angolan club; has competed in Girabola and CAF tournaments
Saurimo FC,Tier 2,None,2.3,Low,Angolan club with past Girabola participation; currently out of top-tier spotlight
SC Chabab Mohammedia,Tier 1,Medium,3.2,High,Historic Moroccan club revived in recent years; notable youth development and Botola Pro status
Scorpion FC de Be,Tier 2,None,2.0,Low,Beninese club with limited top-tier presence and little public data
Sekhukhune United FC,Tier 1,Medium,3.2,High,South African club recently promoted to PSL; strong management and competitive squad
Sewe,Tier 1,High,3.5,Medium,Refers to Séwé Sport (Côte d'Ivoire); multiple-time league champions and CAF finalists
Shabanie Mine,Tier 2,Low,2.3,Low,Zimbabwean mining club with strong fan base but now in lower tiers
Sharks,Tier 2,Low,2.2,Low,Nigerian club (Sharks FC) merged with Dolphins to form Rivers United; historic Port Harcourt side
Shooting Stars,Tier 1,High (historic),3.2,Medium,"One of Nigeria’s most historic clubs; CAF Cup winners in 1992, currently in NPFL"
Sigui,Tier 2,None,2.0,Low,Malian club from Kayes region; minimal national exposure
Simba SC,Tier 1,Very High,4.5,High,Tanzania’s top club alongside Yanga; CAF Champions League regular and East African powerhouse
Smouha SC,Tier 1,Medium,3.2,Medium,Egyptian Premier League club based in Alexandria; cup finalists and CAF participants
SO Armee,Tier 2,None,2.3,Low,"Likely refers to a military-affiliated club from West Africa (e.g., Côte d'Ivoire); low visibility"
Sofapaka,Tier 1,High,3.5,Medium,Top Kenyan Premier League club; KPL champions in 2009 and CAF participants
Sogakope WAFA,Tier 1,Medium,3.0,Medium,Ghanaian club (West African Football Academy); known for elite youth development
SOL FC,Tier 1,Low,2.8,Medium,Ivorian Ligue 1 club with competitive domestic performance; known for strong home form
Sport Lubango e Benfica,Tier 2,None,2.3,Low,Angolan club with historical top-tier presence; currently not among Girabola elite
Sportif de Chebba,Tier 1,Low,2.8,Medium,Tunisian Ligue 1 club with recent promotion and growing reputation
Sporting Clube de Benguela,Tier 2,None,2.2,Low,Angolan club with colonial-era history; limited modern competitive record
Sporting de Cabinda,Tier 1,Low,2.8,Low,Angolan club from the Cabinda province; fluctuating Girabola status
Sporting Gagnoa,Tier 1,Medium,3.2,Medium,Ivorian club; domestic cup winners and recent CAF Confederation Cup participants
Sportive de Djerba,Tier 2,None,2.3,Low,Tunisian club with brief Ligue 1 history; currently in lower division
St. George,Tier 1,Very High,4.5,High,Ethiopia's most decorated club; dominant in league and a regular CAF Champions League participant
Stade d'Abidjan,Tier 1,High,3.2,Medium,Historic Ivorian club; past CAF Champions League winners (1966)
Stade Gabesien,Tier 2,Low,2.5,Low,Tunisian club with previous Ligue 1 experience; now in lower divisions
Stade Malien Bamako,Tier 1,Very High,4.2,High,Mali’s top club; multiple domestic titles and strong CAF track record
Stade Malien Sikasso,Tier 2,None,2.3,Low,"Malian regional club, not affiliated with the main Stade Malien of Bamako"
Stade Renard de Melong,Tier 1,Medium,3.0,Medium,Cameroonian Elite One club; national cup winner with recent CAF entries
Stade Tunisien,Tier 1,High,3.5,High,Historic Tunisian club with league titles and consistent top-tier performance
Stella Club,Tier 1,Medium,3.0,Medium,Ivorian club with CAF history and strong legacy in the 1970s–1980s
Stellenbosch FC,Tier 1,Medium,3.2,High,South African PSL club with strong development pipeline and rising form
Sunshine Stars,Tier 1,High,3.5,Medium,Nigerian club known for deep runs in CAF Confederation and Champions League
Supersport United,Tier 1,High,4.2,High,Top South African PSL club; multiple league titles and CAF Confederation Cup finalist (2017)
Tanta,Tier 2,None,2.3,Low,Egyptian club with periodic Premier League appearances; mostly in lower tiers
Taraba,Tier 2,None,2.2,Low,Nigerian club with brief NPFL stint; now inactive or in regional leagues
Telephonaat Beni Suef,Tier 2,None,2.3,Low,Egyptian club formerly in the Premier League; now in second division
Tema Youth,Tier 2,Low,2.5,Low,Ghanaian club known for youth development; fluctuates between Premier League and lower tiers
Tenax CS FC,Tier 1,None,2.8,Medium,Zimbabwean Premier League club backed by prison services; known for defensive style
Teungueth FC,Tier 1,High,3.5,Medium,Senegalese champions; strong CAF Champions League performance in 2020–21
Tiko United,Tier 2,Low,2.5,Low,"Cameroonian club; 2009 Elite One champions, now in lower leagues"
Togo-Port,Tier 1,Medium,3.0,Medium,Togolese club; national champions and CAF Champions League group stage participant (2018)
Tonnerre Kalara Club,Tier 1,High (historic),3.2,Medium,"Legendary Cameroonian club; home to Roger Milla, past CAF Cup Winners' Cup champions"
Township Rollers,Tier 1,High,3.8,High,Botswana’s most successful club; frequent CAF Champions League participant
Triangle FC,Tier 1,Medium,3.0,Medium,Zimbabwean club backed by a sugar estate; FA Cup winner and CAF Confederation Cup participant
Tripple B,Tier 2,None,2.2,Low,Congolese club (DRC); former Ligue 1 team with limited recent activity
TS Galaxy,Tier 1,High,3.5,High,South African club; CAF Confederation Cup winners in 2019 while still in second tier
Tsholotsho,Tier 2,None,2.0,Low,Zimbabwean club that had a brief stay in the top division; now inactive
UMS de Loum,Tier 1,Medium,3.2,Medium,Cameroonian Elite One champions in 2016; recent CAF Champions League participants
Underhill,Tier 2,None,2.0,Low,Zimbabwean club from the Mutare area; short-lived Premier League presence
Uniao Sport Clube do Uige,Tier 2,None,2.2,Low,Angolan club from the Uíge province; minimal top-tier appearances
Union Douala,Tier 1,High,3.5,Medium-High,Historic Cameroonian club; multiple Elite One titles and CAF experience
Union Sportive de Douala,Tier 1,High,3.5,Medium-High,Duplicate name for Union Douala; major Cameroonian club with strong legacy
Unisport FC Du Haut-Nkam,Tier 1,Medium,3.0,Medium,Cameroonian club from Bafang; past national champions with Elite One presence
Université Ngaoundéré,Tier 2,None,2.0,Low,University-affiliated Cameroonian team; limited professional exposure
Urana,Tier 2,None,2.0,Low,"Little-known club, likely from Niger; minimal public data available"
US Biskra,Tier 1,Low,2.8,Medium,Algerian Ligue 1 club with a consistent top-flight presence
US Monastir,Tier 1,High,3.5,High,Top Tunisian club with recent CAF Confederation Cup appearances and cup victories
US Tataouine,Tier 1,Low,2.8,Medium,Southern Tunisian Ligue 1 club known for passionate local support
Usc Bassam,Tier 1,Low,2.8,Medium,"Ivorian Ligue 1 club from Grand-Bassam; past domestic success, mid-tier status"
USFAS Bamako,Tier 1,Medium,3.0,Medium,Malian army-affiliated club; consistent league presence with continental appearances
USGN,Tier 1,High,3.5,Medium,"Top club from Niger; Union Sportive Gendarmerie Nationale, regular CAF competitors"
USM Alger,Tier 1,Very High,5.0,Global,Algeria’s most prominent club; CAF Confederation Cup and Super Cup winners (2023)
USM Bel Abbes,Tier 2,Low,2.5,Low,Algerian club with past Ligue 1 experience and an Algerian Cup title; currently in lower division
USM Blida,Tier 2,Low,2.3,Low,Algerian club with fluctuating presence between Ligue 1 and Ligue 2
USM El Harrach,Tier 2,Low,2.5,Low,Historic Algerian club; Ligue 1 champions in 1998 but now in Ligue 2
Victoria,Tier 2,None,2.0,Low,Likely refers to Victoria United (Cameroon or Seychelles); limited continental exposure
WA Tlemcen,Tier 2,Low,2.5,Low,Algerian club with two Algerian Cup wins; recently relegated from Ligue 1
Wad Hashim SC Sennar,Tier 2,None,2.2,Low,Sudanese club with brief top-tier appearances; currently in lower ranks
Wadi Degla FC,Tier 2,Medium,2.8,Medium,Modern Egyptian club with strong facilities and youth focus; recently relegated from Premier League
Warri Wolves FC,Tier 1,Medium,3.0,Medium,Nigerian club with multiple continental appearances; known for producing national team players
Wassaman United,Tier 2,None,2.2,Low,Ghanaian club with brief Premier League experience; now in lower divisions
WhaWha,Tier 2,None,2.0,Low,Zimbabwean correctional service club with short-lived PSL promotion
Wikki Tourist,Tier 1,Medium,3.0,Medium,Nigerian club with consistent NPFL presence and regional visibility
Wiliete SC,Tier 1,Low,2.8,Low,Angolan Girabola club with recent promotion and growing domestic competitiveness
Williamsville Athletic Club,Tier 1,Medium,3.2,Medium,Ivorian Ligue 1 side; CAF Champions League participant in 2018
WWS Rangers,Tier 2,None,2.0,Low,"Little-known club, likely from Nigeria or West Africa; minimal public data"
Wydad Casablanca,Tier 1,Very High,5.0,Global,Moroccan giants; multiple-time CAF Champions League and Botola Pro winners
Wydad Fes,Tier 2,Low,2.5,Low,Moroccan club with historical top-tier stints; currently outside Botola Pro
Yadah FC,Tier 1,Low,2.8,Medium,Zimbabwean Premier League club; church-owned and stable top-flight presence
Yafoot FC Yaounde 2,Tier 2,None,2.2,Low,Cameroonian lower-division club; based in Yaoundé with modest reach
Yobe Desert Stars,Tier 2,None,2.0,Low,Nigerian club briefly in the NPFL; relegated due to performance and instability
Yopougon FC,Tier 2,None,2.2,Low,Ivorian club based in Abidjan suburb; low domestic impact and visibility
Young Africans,Tier 1,Very High,4.5,High,Tanzania’s most successful club; fierce rival of Simba SC and regular CAF Champions League contender
Young Green Eagles,Tier 2,None,2.2,Low,Zambian lower-division team; not to be confused with the national youth side
Young Sport Academy Bamenda,Tier 1,Medium,3.2,Medium,Cameroonian club known for youth development; Elite One champions in 2020
Youssoufia Berrechid,Tier 1,Low,2.8,Medium,Moroccan Botola Pro club with modest top-flight presence
Zamfara United FC,Tier 2,None,2.0,Low,Nigerian club formerly in NPFL; currently in lower division or inactive
Zanaco,Tier 1,High,4.0,High,One of Zambia’s top clubs; multiple league champions and regular CAF competitors
Zarzis,Tier 2,Low,2.5,Low,Tunisian club with Ligue 1 history; currently in lower division
ZESCO United,Tier 1,Very High,4.5,High,Top Zambian club; dominant in league and consistent in CAF Champions League
Zimbabwe Saints,Tier 2,Low,2.3,Low,Historic Zimbabwean club; now largely inactive or restructured
ZPC Kariba,Tier 1,Low,2.8,Medium,Zimbabwean Premier League club backed by Zimbabwe Power Company
Zumunta,Tier 2,None,2.0,Low,Nigerian amateur or local league club; very limited public data available
