club_id,club_name,services_offered,affiliated_players,certified_trainers,location,membership_fees,verified_status,contact_email,phone_number
CAF188,AS Togo Port Academy,"Technical training, competitive play",100,8,Lomé Togo,$350/year,Yes,togoport@atp.tg,+228 22 34 5678
CAF189,AC Merlan Academy,"Youth training, scouting",90,7,Lomé Togo,$300/year,Yes,merlan@amfc.tg,+228 22 67 8901
CAF190,Dynamic Togolais Academy,"Skill development, youth programs",80,6,Lomé Togo,$300/year,Yes,dynamic@dtfc.tg,+228 22 89 0123
CAF191,Requins de l’Atlantique Academy,"Grassroots training, leagues",90,7,Cotonou Benin,$350/year,Yes,requins@rafc.bj,+229 21 34 5678
CAF192,AS Dragons Academy,"Youth coaching, technical skills",100,8,Cotonou Benin,$350/year,Yes,asdragons@adfc.bj,+229 21 67 8901
CAF193,Espoir FC Academy,"Skill training, competitive play",80,6,Abomey Benin,$300/year,Yes,espoir@efc.bj,+229 22 34 5678
CAF194,Salitas FC Academy,"Elite training, scouting",110,9,Ouagadougou Burkina Faso,$350/year,Yes,salitas@sfc.bf,+226 25 34 5678
CAF195,USFA Academy,"Youth development, pro pathways",100,8,Ouagadougou Burkina Faso,$350/year,Yes,usfa@usfa.bf,+226 25 67 8901
CAF196,Rahimo FC Academy,"Technical training, youth leagues",90,7,Bobo-Dioulasso Burkina Faso,$300/year,Yes,rahimo@rfc.bf,+226 20 34 5678
CAF197,Flambeau de l’Est Academy,"Grassroots training, scouting",80,6,Gitega Burundi,$250/year,Yes,flambeau@fefc.bi,+257 22 34 5678
CAF198,Atlético Olympic Academy,"Skill coaching, youth programs",90,7,Bujumbura Burundi,$300/year,Yes,atletico@aofc.bi,+257 22 67 8901
CAF199,Watanga FC Academy,"Youth training, technical skills",100,8,Monrovia Liberia,$350/year,Yes,watanga@wfc.lr,+231 88 34 5678
CAF200,Mighty Barrolle Academy,"Elite training, competitive leagues",110,9,Monrovia Liberia,$350/year,Yes,barrolle@mbfc.lr,+231 88 67 8901
CAF201,ASN Nigelec Academy,"Grassroots training, scouting",90,7,Niamey Niger,$300/year,Yes,nigelec@ann.ne,+227 20 34 5678
CAF202,AS Fan Academy,"Skill development, youth leagues",100,8,Niamey Niger,$350/year,Yes,asfan@afn.ne,+227 20 67 8901
CAF203,US Gendarmerie Academy,"Youth coaching, technical skills",80,6,Niamey Niger,$300/year,Yes,usg@usgn.ne,+227 20 89 0123
CAF204,Al Ittihad Academy,"Elite training, competitive play",130,11,Tripoli Libya,$450/year,Yes,alittihad@aifc.ly,+218 21 34 5678
CAF205,Al Ahly Tripoli Academy,"Youth training, pro pathways",140,12,Tripoli Libya,$500/year,Yes,alahly@atfc.ly,+218 21 67 8901
CAF206,Al Nasr Benghazi Academy,"Skill development, scouting",120,10,Benghazi Libya,$450/year,Yes,alnasr@anfc.ly,+218 61 34 5678
CAF207,Al Madina Academy,"Technical training, youth leagues",100,9,Tripoli Libya,$400/year,Yes,almadina@amfc.ly,+218 21 89 0123
CAF208,Hilal Sabha Academy,"Grassroots training, competitive play",90,8,Sabha Libya,$400/year,Yes,hilalsabha@hsfc.ly,+218 71 34 5678
CAF209,FUS de Rabat Academy,"Elite training, scouting",130,11,Rabat Morocco,$550/year,Yes,fus@fusr.ma,+212 537 34 5678
CAF210,MAS Fez Academy,"Youth coaching, technical skills",120,10,Fes Morocco,$500/year,Yes,masfez@mas.ma,+212 535 34 5678
CAF211,IRT Tangier Academy,"Skill development, youth programs",110,9,Tangier Morocco,$450/year,Yes,irt@irt.ma,+212 539 67 8901
CAF212,Hassania Agadir Academy,"Technical training, competitive leagues",100,8,Agadir Morocco,$450/year,Yes,hassania@hafc.ma,+212 528 34 5678
CAF213,Olympic Safi Academy,"Grassroots training, scouting",90,7,Safi Morocco,$400/year,Yes,olympicsafi@osfc.ma,+212 524 34 5678
CAF214,Al Ahli Khartoum Academy,"Youth training, technical skills",110,9,Khartoum Sudan,$350/year,Yes,alahli@akfc.sd,+249 18 34 5678
CAF215,Merreikh Al-Fasher Academy,"Skill development, competitive play",90,8,Al-Fasher Sudan,$300/year,Yes,merreikh@mffc.sd,+249 18 67 8901
CAF216,Hay Al-Arab Academy,"Grassroots training, youth leagues",100,7,Port Sudan Sudan,$300/year,Yes,hayalarab@haafc.sd,+249 31 34 5678
CAF217,Atlabara FC Academy,"Youth coaching, scouting",90,6,Juba South Sudan,$250/year,Yes,atlabara@afc.ss,+211 92 34 5678
CAF218,Kator FC Academy,"Technical training, youth programs",80,5,Juba South Sudan,$250/year,Yes,kator@kfc.ss,+211 92 67 8901
CAF219,Police Kibungo Academy,"Skill development, competitive leagues",100,8,Kibungo Rwanda,$350/year,Yes,policekibungo@pkfc.rw,+250 78 34 5678
CAF220,AS Kigali Academy,"Youth training, pro pathways",110,9,Kigali Rwanda,$400/year,Yes,askigali@ask.rw,+250 78 67 8901
CAF221,Kiyovu Sports Academy,"Grassroots training, scouting",90,7,Kigali Rwanda,$350/year,Yes,kiyovu@ksfc.rw,+250 78 89 0123
CAF222,Musanze FC Academy,"Technical training, youth leagues",80,6,Musanze Rwanda,$300/year,Yes,musanze@mfc.rw,+250 78 34 5678
CAF223,ZESCO United Academy,"Elite training, competitive play",120,10,Ndola Zambia,$400/year,Yes,zesco@zufc.zm,+260 21 34 5678
CAF224,Lusaka Dynamos Academy,"Youth coaching, skill development",100,8,Lusaka Zambia,$350/year,Yes,lusaka@ldfc.zm,+260 21 67 8901
CAF225,Napsa Stars Academy,"Grassroots training, scouting",90,7,Lusaka Zambia,$350/year,Yes,napsa@nsfc.zm,+260 21 89 0123
CAF226,Bravos do Maquis Academy,"Skill training, youth programs",100,8,Luena Angola,$400/year,Yes,bravos@bmfc.ao,+244 26 34 5678
CAF227,Sagrada Esperança Academy,"Youth development, technical skills",110,9,Dundo Angola,$450/year,Yes,sagrada@sefc.ao,+244 26 67 8901
CAF228,Academia de Futbol da Praia,"Grassroots training, scouting",80,6,Praia Cape Verde,$300/year,Yes,afpraia@afp.cv,+238 26 34 5678
CAF229,Sporting Praia Academy,"Skill coaching, youth leagues",90,7,Praia Cape Verde,$350/year,Yes,sporting@spfc.cv,+238 26 67 8901
CAF230,Académica do Mindelo Academy,"Youth training, competitive play",70,5,Mindelo Cape Verde,$300/year,Yes,academica@amfc.cv,+238 23 34 5678
CAF231,Modern Future FC Academy,"Elite training, pro pathways",130,11,Cairo Egypt,$550/year,Yes,modernfuture@mffc.eg,+20 2 34 5678
CAF232,Smouha SC Academy,"Skill development, scouting",120,10,Alexandria Egypt,$500/year,Yes,smouha@ssc.eg,+20 3 34 5678
CAF233,Tala’ea El Gaish Academy,"Technical training, youth leagues",110,9,Cairo Egypt,$450/year,Yes,talaea@teg.eg,+20 2 67 8901
CAF234,Ghazl El Mahalla Academy,"Grassroots training, competitive play",100,8,Mahalla Egypt,$400/year,Yes,ghazl@gemfc.eg,+20 40 34 5678
CAF235,El Entag El Harby Academy,"Youth coaching, skill development",90,7,Cairo Egypt,$400/year,Yes,entag@eehfc.eg,+20 2 89 0123
CAF236,Jimma Aba Jifar Academy,"Skill training, youth programs",100,8,Jimma Ethiopia,$300/year,Yes,jimma@jajfc.et,+251 47 34 5678
CAF237,Bahir Dar Kenema Academy,"Youth development, technical skills",90,7,Bahir Dar Ethiopia,$300/year,Yes,bahirdar@bkfc.et,+251 58 34 5678
CAF238,Defence Force Academy,"Grassroots training, scouting",80,6,Addis Ababa Ethiopia,$300/year,Yes,defence@dffc.et,+251 11 34 5678
CAF239,URA FC Academy,"Elite training, competitive leagues",110,9,Kampala Uganda,$400/year,Yes,ura@urafc.co.ug,+256 41 34 5678
CAF240,Wakiso Giants Academy,"Skill development, youth programs",90,7,Wakiso Uganda,$350/year,Yes,wakiso@wgfc.co.ug,+256 41 67 8901
CAF241,Busoga United Academy,"Youth training, technical skills",80,6,Jinja Uganda,$300/year,Yes,busoga@bufc.co.ug,+256 43 34 5678
CAF242,Sofapaka FC Academy,"Grassroots training, scouting",100,8,Nairobi Kenya,$350/year,Yes,sofapaka@sffc.co.ke,+254 20 34 5678
CAF243,Tusker FC Academy,"Skill coaching, youth leagues",110,9,Nairobi Kenya,$400/year,Yes,tusker@tfc.co.ke,+254 20 67 8901
CAF244,AFC Leopards Academy,"Youth development, competitive play",120,10,Nairobi Kenya,$400/year,Yes,leopards@alfc.co.ke,+254 20 89 0123
CAF245,Bandari FC Academy,"Technical training, scouting",100,8,Mombasa Kenya,$350/year,Yes,bandari@bfc.co.ke,+254 41 34 5678
CAF246,Gor Mahia Academy,"Elite training, pro pathways",130,11,Nairobi Kenya,$400/year,Yes,gormahia@gmfc.co.ke,+254 20 34 5678
CAF247,Mathare United Academy,"Grassroots training, youth programs",110,9,Nairobi Kenya,$350/year,Yes,mathare@mufc.co.ke,+254 20 67 8901
CAF248,Kariobangi Sharks Academy,"Skill development, technical skills",90,7,Nairobi Kenya,$350/year,Yes,sharks@ksfc.co.ke,+254 20 89 0123
CAF249,Posta Rangers Academy,"Youth coaching, scouting",80,6,Nairobi Kenya,$300/year,Yes,posta@prfc.co.ke,+254 20 34 5678
CAF250,Nzoia Sugar Academy,"Technical training, youth leagues",90,7,Bungoma Kenya,$300/year,Yes,nzoia@nsfc.co.ke,+254 55 34 5678
CAF252,Shabana FC Academy,"Grassroots training, scouting",90,7,Kisii Kenya,$300/year,Yes,shabana@sffc.co.ke,+254 58 34 5678
CAF253,Western Stima Academy,"Skill development, youth programs",80,6,Kisumu Kenya,$300/year,Yes,stima@wsfc.co.ke,+254 57 34 5678
CAF254,Chemelil Sugar Academy,"Youth coaching, technical skills",70,5,Chemelil Kenya,$250/year,Yes,chemelil@csfc.co.ke,+254 57 67 8901
CAF255,Thika United Academy,"Technical training, scouting",90,7,Thika Kenya,$350/year,Yes,thika@tufc.co.ke,+254 67 34 5678
CAF256,Kenya Police FC Academy,"Skill training, competitive play",100,8,Nairobi Kenya,$350/year,Yes,police@kpfc.co.ke,+254 20 34 5678
CAF257,Mount Kenya United Academy,"Youth development, leagues",80,6,Nanyuki Kenya,$300/year,Yes,mountkenya@mkufc.co.ke,+254 62 34 5678
CAF258,Kakamega Homeboyz Academy,"Grassroots training, scouting",110,9,Kakamega Kenya,$350/year,Yes,homeboyz@khfc.co.ke,+254 56 34 5678
CAF259,Vihiga United Academy,"Skill coaching, youth programs",90,7,Vihiga Kenya,$300/year,Yes,vihiga@vufc.co.ke,+254 56 67 8901
CAF260,Nakumatt FC Academy,"Youth training, technical skills",80,6,Nairobi Kenya,$300/year,Yes,nakumatt@nfc.co.ke,+254 20 34 5678
CAF261,Mbale Heroes Academy,"Grassroots training, scouting",90,7,Mbale Uganda,$300/year,Yes,mbale@mhfc.co.ug,+256 45 34 5678
CAF262,Tooro United Academy,"Skill development, youth leagues",80,6,Fort Portal Uganda,$300/year,Yes,tooro@tufc.co.ug,+256 48 34 5678
CAF263,Jinja North FC Academy,"Youth coaching, technical skills",70,5,Jinja Uganda,$250/year,Yes,jinjanorth@jnfc.co.ug,+256 43 34 5678
CAF264,Mbarara City Academy,"Technical training, competitive play",100,8,Mbarara Uganda,$350/year,Yes,mbarara@mcfc.co.ug,+256 48 67 8901
CAF265,Gaddafi FC Academy,"Youth development, scouting",90,7,Jinja Uganda,$300/year,Yes,gaddafi@gfc.co.ug,+256 43 89 0123
CAF266,Sidama Coffee Academy,"Grassroots training, youth programs",100,8,Hawassa Ethiopia,$300/year,Yes,sidama@scfc.et,+251 46 34 5678
CAF267,Mekelle 70 Enderta Academy,"Skill training, competitive leagues",90,7,Mekelle Ethiopia,$300/year,Yes,mekelle@mefc.et,+251 34 34 5678
CAF268,Arba Minch City Academy,"Youth coaching, technical skills",80,6,Arba Minch Ethiopia,$250/year,Yes,arbaminch@amfc.et,+251 46 34 5678
CAF269,Hadiya Hossana Academy,"Technical training, scouting",90,7,Hossana Ethiopia,$300/year,Yes,hadiya@hhfc.et,+251 46 67 8901
CAF270,Wolkite City Academy,"Youth development, leagues",80,6,Wolkite Ethiopia,$250/year,Yes,wolkite@wcfc.et,+251 11 34 5678
CAF271,Al Masry Academy,"Elite training, competitive play",130,11,Port Said Egypt,$500/year,Yes,almasry@amfc.eg,+20 66 34 5678
CAF272,Ittihad Alexandria Academy,"Skill development, youth leagues",120,10,Alexandria Egypt,$450/year,Yes,ittihad@iafc.eg,+20 3 34 5678
CAF273,Misr Lel Makkasa Academy,"Youth training, pro pathways",110,9,Fayoum Egypt,$400/year,Yes,makkasa@mlmfc.eg,+20 84 34 5678
CAF274,El Gouna FC Academy,"Technical training, scouting",100,8,El Gouna Egypt,$450/year,Yes,elgouna@egfc.eg,+20 65 34 5678
CAF275,AsWAN FC Academy,"Grassroots training, youth programs",90,7,Aswan Egypt,$400/year,Yes,aswan@afc.eg,+20 97 34 5678
CAF276,Boavista Praia Academy,"Youth coaching, technical skills",90,7,Praia Cape Verde,$350/year,Yes,boavista@bffc.cv,+238 26 34 5678
CAF277,CS Mindelense Academy,"Skill training, competitive play",80,6,Mindelo Cape Verde,$300/year,Yes,mindelense@cmfc.cv,+238 23 34 5678
CAF278,Académica do Sal Academy,"Grassroots training, scouting",70,5,Espargos Cape Verde,$250/year,Yes,academica@asfc.cv,+238 24 34 5678
CAF279,Progresso Sambizanga Academy,"Youth development, leagues",100,8,Luanda Angola,$400/year,Yes,progresso@psfc.ao,+244 22 34 5678
CAF280,Recreativo do Libolo Academy,"Technical training, competitive play",110,9,Calulo Angola,$450/year,Yes,recreativo@rlfc.ao,+244 23 34 5678
CAF281,Forest Rangers Academy,"Skill coaching, youth programs",100,8,Ndola Zambia,$350/year,Yes,forest@frfc.zm,+260 21 34 5678
CAF282,Kabwe Warriors Academy,"Youth training, technical skills",90,7,Kabwe Zambia,$300/year,Yes,kabwe@kwfc.zm,+260 21 67 8901
CAF283,Buildcon FC Academy,"Grassroots training, scouting",80,6,Ndola Zambia,$300/year,Yes,buildcon@bfc.zm,+260 21 89 0123
CAF284,Lumwana Radiants Academy,"Skill development, competitive leagues",90,7,Solwezi Zambia,$350/year,Yes,lumwana@lrfc.zm,+260 21 34 5678
CAF285,Triangle United Academy,"Youth coaching, scouting",100,8,Chiredzi Zimbabwe,$300/year,Yes,triangle@tufc.co.zw,+263 31 34 5678
CAF286,Harare City Academy,"Technical training, youth programs",110,9,Harare Zimbabwe,$350/year,Yes,harare@hcfc.co.zw,+263 4 34 5678
CAF287,Bantu Rovers Academy,"Grassroots training, competitive play",90,7,Bulawayo Zimbabwe,$300/year,Yes,bantu@brfc.co.zw,+263 9 34 5678
CAF288,Hwange FC Academy,"Youth development, technical skills",80,6,Hwange Zimbabwe,$250/year,Yes,hwange@hfc.co.zw,+263 81 34 5678
